"Language","Angle","Mode"
"Plt_latn_train",107.156700822364,"BPE-Min-R"
"Gla_latn_train",107.305483602241,"BPE-Min-R"
"Gaz_latn_train",107.356822546394,"BPE-Min-R"
"Bug_latn_train",107.471107634816,"BPE-Min-R"
"Ydd_hebr_train",107.577351356309,"BPE-Min-R"
"Zul_latn_train",107.682146671828,"BPE-Min-R"
"Cym_latn_train",107.686419762623,"BPE-Min-R"
"Fra_latn_train",107.773950543723,"BPE-Min-R"
"Twi_latn_train",107.77826043006,"BPE-Min-R"
"Sun_latn_train",107.842466368298,"BPE-Min-R"
"Sot_latn_train",108.630706152276,"BPE-Min-R"
"Quy_latn_train",108.719326902078,"BPE-Min-R"
"Umb_latn_train",109.727548082528,"BPE-Min-R"
"Tso_latn_train",110.226449195786,"BPE-Min-R"
"Ssw_latn_train",110.241306471478,"BPE-Min-R"
"Pbt_arab_train",110.62232280157,"BPE-Min-R"
"Kik_latn_train",110.768386398784,"BPE-Min-R"
"Lao_laoo_train",110.769978999396,"BPE-Min-R"
"Mlt_latn_train",110.808407860953,"BPE-Min-R"
"Bem_latn_train",111.265627757646,"BPE-Min-R"
"Tel_telu_train",111.462397116823,"BPE-Min-R"
"Prs_arab_train",111.474500697332,"BPE-Min-R"
"Som_latn_train",111.570983386722,"BPE-Min-R"
"Tam_taml_train",111.811277542522,"BPE-Min-R"
"Epo_latn_train",112.099386337992,"BPE-Min-R"
"Asm_beng_train",112.531282284343,"BPE-Min-R"
"Dyu_latn_train",112.880913240088,"BPE-Min-R"
"Ltz_latn_train",113.479491344318,"BPE-Min-R"
"Yor_latn_train",113.912936273703,"BPE-Min-R"
"Aka_latn_train",114.226002159705,"BPE-Min-R"
"Tir_ethi_train",114.464853372853,"BPE-Min-R"
"Kan_knda_train",115.572370645311,"BPE-Min-R"
"Nso_latn_train",115.576508127591,"BPE-Min-R"
"Mar_deva_train",116.238251770179,"BPE-Min-R"
"Kas_arab_train",116.751878470879,"BPE-Min-R"
"Bos_latn_train",116.986007379765,"BPE-Min-R"
"Tsn_latn_train",117.071114417296,"BPE-Min-R"
"Zho_hant_train",118.335303118272,"BPE-Min-R"
"Mya_mymr_train",118.744871372285,"BPE-Min-R"
"Lug_latn_train",119.93086007388,"BPE-Min-R"
"Ind_latn_train",120.68544995356,"BPE-Min-R"
"Npi_deva_train",122.966808372721,"BPE-Min-R"
"Guj_gujr_train",124.060253859035,"BPE-Min-R"
"Khm_khmr_train",124.91095256264,"BPE-Min-R"
